;*01;A00;D15;E02;E04;E09;E14;F01;F05;F08;F10;F13;I07;I12;N03;N06;N11;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0.024291497975708502;0.024291497975708502;0;0;0;0.6153846153846154;0;0;0;0;0.12955465587044535;0;0.20647773279352227;0;0;0
D15;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E02;0;0;0.375;0;0;0;0;0;0.375;0;0;0;0.03125;0;0.21875;0;0;0
E04;0;0;0.8571428571428571;0;0;0;0;0;0.14285714285714285;0;0;0;0;0;0;0;0;0
E09;0.08;0;0.7657142857142857;0;0;0;0;0;0;0;0.06857142857142857;0;0;0.07428571428571429;0;0;0.011428571428571429;0
E14;0.7575757575757576;0;0.24242424242424243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0.02631578947368421;0.17105263157894737;0;0;0;0;0;0;0;0;0.6710526315789473;0;0.13157894736842105;0;0;0
F05;0;0;0.23684210526315788;0;0;0.42105263157894735;0;0;0;0;0;0;0.2631578947368421;0;0;0.07894736842105263;0;0
F08;0;0;0.0625;0;0;0.8295454545454546;0;0;0;0;0;0;0;0.08522727272727272;0;0;0.022727272727272728;0
F10;0.16666666666666666;0;0.8333333333333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F13;0.1724137931034483;0;0;0;0;0;0.8275862068965517;0;0;0;0;0;0;0;0;0;0;0
I07;0;0;0;0;0;0.06842105263157895;0;0;0;0.9105263157894737;0;0;0;0;0;0;0.021052631578947368;0
I12;0;0;0;0;0;0;0.21428571428571427;0;0;0;0;0.7857142857142857;0;0;0;0;0;0
N03;0;0;0.01282051282051282;0;0.08974358974358974;0;0;0;0.32051282051282054;0;0;0;0.5769230769230769;0;0;0;0;0
N06;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0
N11;0;0;0;0;0;0;0.3;0;0;0;0;0.7;0;0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
