;*01;A00;D15;E02;E04;E09;E14;F01;F05;F08;F10;F13;I07;I12;N03;N06;N11;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0.008620689655172414;0.017241379310344827;0;0;0;0.8706896551724138;0;0;0;0;0.017241379310344827;0;0.08620689655172414;0;0;0
D15;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E02;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
E04;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E09;0;0;0.5728155339805825;0;0;0;0;0;0;0;0.3786407766990291;0;0;0.038834951456310676;0;0;0.009708737864077669;0
E14;0.8372093023255814;0;0.16279069767441862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0.009900990099009901;0.019801980198019802;0;0;0;0;0;0;0;0;0.1782178217821782;0;0.7920792079207921;0;0;0
F05;0;0;0.06666666666666667;0;0;0.6;0;0;0;0;0;0;0.2;0;0;0.13333333333333333;0;0
F08;0;0;0;0;0;0.9368421052631579;0;0;0;0;0;0;0;0.05263157894736842;0;0;0.010526315789473684;0
F10;0;0;0.15384615384615385;0;0;0;0;0;0;0;0;0;0;0.7435897435897436;0;0;0.10256410256410256;0
F13;0.022222222222222223;0;0.044444444444444446;0;0;0;0.9333333333333333;0;0;0;0;0;0;0;0;0;0;0
I07;0;0;0.009708737864077669;0;0;0.04854368932038835;0;0;0;0.9223300970873787;0;0;0;0;0;0;0.019417475728155338;0
I12;0;0;0;0;0;0;0.023809523809523808;0;0;0;0;0.9761904761904762;0;0;0;0;0;0
N03;0;0;0;0;0.011111111111111112;0;0;0;0.12222222222222222;0;0;0;0.8666666666666667;0;0;0;0;0
N06;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0
N11;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
