;*01;A00;D07;E06;F01;F03;F05;I04;N02;_01
*01;0;0;0;0;0;0;0;0;0;0
A00;0;0;0;0;1.0;0;0;0;0;0
D07;1.0;0;0;0;0;0;0;0;0;0
E06;0.9088050314465409;0;0.09119496855345911;0;0;0;0;0;0;0
F01;0;0;0;0;0;0;0;0;1.0;0
F03;0;0;0;0;0;0;0;1.0;0;0
F05;0;0;0.00625;0.99375;0;0;0;0;0;0
I04;0;0;0;0;0;0;1.0;0;0;0
N02;0;0;0;0;0;0.021875;0;0.978125;0;0
_01;0;1.0;0;0;0;0;0;0;0;0
