,BG_SCALE,Q3,MIN,MAX,N_SURG,Q1,PART,Q2,TARGET_SCALE,MAX_QUEUE_LENGTH,AVG
112,0.5,--,,,5,--,0.0,--,0.5,,
113,0.5,--,,,5,--,0.0,--,0.5,,
114,0.5,--,,,5,--,0.0,--,0.5,,
115,0.5,--,,,5,--,0.0,--,0.5,,
116,0.5,--,,,5,--,0.0,--,0.5,,
117,0.5,--,,,5,--,0.0,--,0.5,,
118,0.5,--,,,5,--,0.0,--,0.5,,
119,0.5,--,,,5,--,0.0,--,0.5,,
120,1.0,1025.55,3.0,2101.0,1,67.6,0.4,179.5,0.5,10.0,525.1428571428571
121,1.0,257.1,6.0,371.0,1,56.65,0.25,97.5,0.5,7.0,153.4
122,1.0,137.55,2.0,205.0,1,24.45,0.4,43.5,0.5,2.0,71.83333333333333
123,1.0,203.0,8.0,500.0,1,33.55,0.2631578947368421,94.0,0.5,4.0,141.9
124,1.0,730.9,8.0,2122.0,1,69.3,0.3469387755102041,257.0,0.5,13.0,533.0
125,1.0,754.0,9.0,1127.0,1,80.4,0.52,145.0,0.5,6.0,385.7692307692308
126,1.0,1086.2,41.0,1673.0,1,73.2,0.175,120.0,0.5,9.0,535.5714285714286
127,1.0,275.3,29.0,520.0,1,72.8,0.2631578947368421,180.0,0.5,5.0,200.2
128,1.0,676.7,8.0,2706.0,1,65.3,0.3870967741935484,434.0,0.5,12.0,573.0833333333334
129,1.0,59.0,14.0,59.0,1,14.0,0.06666666666666667,36.5,0.5,0.0,36.5
130,1.0,1248.95,1.0,2207.0,1,4.15,0.15384615384615385,43.0,0.5,14.0,573.5
131,1.0,187.2,31.0,1415.0,1,81.5,0.42424242424242425,122.0,0.5,10.0,242.35714285714286
132,1.0,153.9,4.0,170.0,1,29.2,0.17857142857142858,48.0,0.5,2.0,81.8
133,1.0,421.6,9.0,517.0,1,15.2,0.13043478260869565,40.0,0.5,6.0,188.66666666666666
134,1.0,592.2,10.0,1331.0,1,53.0,0.3170731707317073,164.0,0.5,8.0,341.15384615384613
135,1.0,498.0,1.0,1363.0,1,73.4,0.2894736842105263,200.0,0.5,10.0,380.6363636363636
136,1.0,249.2,2.0,431.0,1,4.7,0.15384615384615385,17.5,0.5,4.0,117.0
137,1.0,157.9,12.0,747.0,1,16.8,0.3,50.0,0.5,4.0,145.77777777777777
138,1.0,1377.4,18.0,1705.0,1,88.3,0.3,221.0,0.5,6.0,602.7777777777778
139,1.0,437.0,12.0,802.0,1,24.0,0.24,129.0,0.5,12.0,232.16666666666666
140,1.0,515.3,43.0,1457.0,1,77.4,0.5,267.0,0.5,9.0,379.6666666666667
141,1.0,333.9,4.0,1995.0,1,111.9,0.5384615384615384,169.0,0.5,6.0,370.3333333333333
142,1.0,185.4,12.0,500.0,1,23.6,0.3055555555555556,63.0,0.5,6.0,120.54545454545455
143,1.0,174.55,6.0,1757.0,1,28.7,0.6666666666666666,50.0,0.5,10.0,265.3125
144,1.0,76.4,15.0,79.0,2,25.2,0.09090909090909091,66.0,0.5,1.0,53.333333333333336
