,PART,SCALE,Q1,Q3,AVG,N_SURG,Q2,MAX,MIN
0,0.48130841121495327,0.5,24.2,122.99999999999999,93.87378640776699,1,60.0,488,1
1,0.5041322314049587,0.5,30.0,165.04999999999998,156.81967213114754,1,76.0,1306,2
2,0.5217391304347826,0.5,28.450000000000003,239.95,249.99242424242425,1,69.0,1939,1
3,0.5189393939393939,0.5,27.0,115.89999999999999,150.35766423357666,1,62.0,1615,1
4,0.4158878504672897,0.5,33.0,111.39999999999998,131.95505617977528,1,60.0,1169,1
5,0.5610859728506787,0.5,30.0,205.49999999999991,158.4516129032258,1,81.5,1360,1
6,0.45410628019323673,0.5,25.95,126.59999999999997,122.59574468085107,1,51.0,1120,1
7,0.43548387096774194,0.5,31.7,137.2,116.53086419753086,1,53.0,661,2
8,0.43162393162393164,0.5,25.0,80.19999999999999,70.58415841584159,1,42.0,371,3
9,0.4870689655172414,0.5,31.7,357.59999999999997,227.141592920354,1,62.0,1847,1
10,0.164,0.5,16.7,70.3,47.24390243902439,2,39.0,210,2
11,0.14741035856573706,0.5,5.699999999999999,48.000000000000014,30.756756756756758,2,23.0,87,2
12,0.14917127071823205,0.5,20.2,88.2,53.51851851851852,2,35.0,130,3
13,0.09019607843137255,0.5,11.0,73.60000000000001,39.21739130434783,2,23.0,107,1
14,0.13924050632911392,0.5,13.7,102.7,73.81818181818181,2,34.0,280,1
15,0.11244979919678715,0.5,10.45,29.55,24.892857142857142,2,22.0,104,2
16,0.1322314049586777,0.5,7.899999999999999,47.650000000000006,32.21875,2,30.0,89,1
17,0.092,0.5,8.2,36.8,23.347826086956523,2,22.0,54,4
18,0.12133891213389121,0.5,11.7,46.6,29.517241379310345,2,26.0,85,1
19,0.11244979919678715,0.5,7.3500000000000005,46.50000000000001,31.285714285714285,2,25.0,121,2
20,0.005235602094240838,0.5,32.0,32.0,32.0,3,32.0,32,32
21,0.016483516483516484,0.5,4.6,19.0,11.666666666666666,3,11.0,21,3
22,0.014285714285714285,0.5,13.399999999999999,23.8,18.0,3,15.0,26,13
23,0.004366812227074236,0.5,28.0,28.0,28.0,3,28.0,28,28
24,0.022988505747126436,0.5,7.8,28.699999999999996,18.666666666666668,3,15.0,42,4
25,0.020942408376963352,0.5,8.85,37.449999999999996,23.0,3,21.5,46,3
26,0.024896265560165973,0.5,36.7,51.14999999999999,44.5,3,47.0,73,12
27,0.015384615384615385,0.5,7.05,15.849999999999998,11.5,3,12.0,19,3
28,0.0391304347826087,0.5,6.800000000000001,21.799999999999997,21.22222222222222,3,14.0,90,1
29,0.045283018867924525,0.5,16.45,49.2,33.25,3,25.5,71,12
30,0.6421052631578947,1.0,55.8,333.94999999999993,272.327868852459,1,140.5,1626,1
31,0.6975806451612904,1.0,55.400000000000006,455.4000000000001,322.32369942196533,1,177.0,1604,4
32,0.6736401673640168,1.0,53.7,359.0,272.00621118012424,1,134.0,1492,7
33,0.6455696202531646,1.0,41.0,249.59999999999997,306.19607843137254,1,115.0,1951,2
34,0.6595744680851063,1.0,52.0,391.3999999999999,365.0,1,128.0,2462,2
35,0.7078189300411523,1.0,68.80000000000001,690.55,408.8953488372093,1,175.0,1765,1
36,0.7183673469387755,1.0,51.900000000000006,333.65000000000003,319.3011363636364,1,134.5,1746,1
37,0.7912457912457912,1.0,104.20000000000002,966.4000000000003,618.0893617021277,1,389.0,2085,2
38,0.5607476635514018,1.0,53.8,282.75,309.64166666666665,1,133.5,2246,1
39,0.6224066390041494,1.0,47.0,427.45,314.4533333333333,1,119.0,1580,1
40,0.22440944881889763,1.0,17.099999999999998,73.6,45.719298245614034,2,34.0,140,1
41,0.2364341085271318,1.0,16.7,52.99999999999997,39.704918032786885,2,27.0,139,1
42,0.2529182879377432,1.0,11.0,71.6,114.06153846153846,2,32.0,1227,2
43,0.19090909090909092,1.0,12.899999999999999,65.05,116.0,2,28.0,741,1
44,0.14785992217898833,1.0,13.0,58.50000000000001,46.44736842105263,2,31.5,152,1
45,0.2339622641509434,1.0,12.0,42.19999999999999,35.0,2,29.0,117,1
46,0.22115384615384615,1.0,12.899999999999999,45.0,35.41304347826087,2,25.5,238,1
47,0.19801980198019803,1.0,12.799999999999997,88.95,60.625,2,38.5,186,1
48,0.22857142857142856,1.0,15.45,81.84999999999998,74.95833333333333,2,40.0,419,3
49,0.2246153846153846,1.0,12.0,55.3,38.602739726027394,2,33.0,142,1
50,0.05392156862745098,1.0,9.4,98.4,51.81818181818182,3,39.0,129,1
51,0.03146853146853147,1.0,3.7,81.29999999999998,48.111111111111114,3,27.0,162,2
52,0.072,1.0,11.8,48.1,30.11111111111111,3,20.5,105,4
53,0.05726872246696035,1.0,3.4000000000000004,12.800000000000004,10.846153846153847,3,10.0,32,1
54,0.0776255707762557,1.0,10.0,50.20000000000001,32.705882352941174,3,20.0,94,2
55,0.05581395348837209,1.0,5.0,28.750000000000004,15.916666666666666,3,11.0,34,4
56,0.0326530612244898,1.0,9.9,24.299999999999997,17.125,3,16.5,34,2
57,0.07281553398058252,1.0,6.2,45.400000000000006,29.066666666666666,3,16.0,90,2
58,0.10077519379844961,1.0,6.95,45.400000000000006,33.0,3,20.5,118,1
59,0.07142857142857142,1.0,3.7,21.200000000000003,13.588235294117647,3,8.0,43,1
60,0.863481228668942,1.5,179.7,778.4000000000003,622.7470355731225,1,369.0,2809,2
61,0.9353448275862069,1.5,213.7,1432.1000000000001,849.184331797235,1,579.0,3066,1
62,0.9113924050632911,1.5,310.9,1366.1000000000001,914.0555555555555,1,832.0,2732,3
