,MAX,PART,Q2,Q3,N_SURG,MAX_QUEUE_LENGTH,MIN,SCALE,AVG,Q1
21,34372,0.9978270317253368,18973.0,27172.55,1,948,34,0.0,18155.905923344948,9355.9
22,34460,0.9937332139659804,17333.0,26034.65,1,921,2,0.0,17813.295045045044,9694.45
23,35910,0.99408014571949,16186.0,28206.4,1,960,3,0.0,17636.28905176363,7045.4000000000015
24,36252,0.9968957871396896,13999.5,25724.6,1,957,7,0.0,15991.598754448398,6840.35
25,40512,0.9976798143851509,19064.0,29082.3,1,966,23,0.0,19368.29581395349,9997.150000000003
26,37713,0.9959072305593452,15840.5,26154.399999999998,1,952,1,0.0,18018.568493150684,8924.6
27,38202,0.9972080037226617,21212.0,27992.4,1,978,6,0.0,20029.62202519832,11204.2
28,32490,0.9950958537672759,14267.5,24232.75,1,840,10,0.0,15621.066308243728,7254.050000000001
29,30813,0.9954873646209387,13490.5,23207.649999999994,1,789,1,0.0,14798.606527651858,7111.300000000001
30,4278,0.9888888888888889,1486.0,1931.8000000000002,2,230,1,0.0,1633.4119053311022,1060.0
31,4688,0.9937033582089553,1917.0,2703.0,2,204,1,0.0,2006.9892044121098,1353.4
32,6259,0.9971617786187322,3349.0,4087.55,2,320,11,0.0,3091.6534629981024,1831.45
33,3887,0.9688920794448432,2164.0,3083.3,2,197,1,0.0,1948.0632254877748,686.0
