,MIN,Q2,Q3,MAX_QUEUE_LENGTH,Q1,MAX,AVG,SCALE,N_SURG,PART
0,1,5923.0,6887.55,235,1977.0,10400,4857.805820610687,0.5,1,0.9919545669663985
1,5,4620.0,5364.1,193,1909.0,9902,4036.1739562624252,0.5,1,0.9901574803149606
2,1,3454.5,5982.25,230,2874.0,10416,4326.249271137026,0.5,1,0.9932432432432432
3,1,612.5,861.0,49,352.95000000000005,1743,632.9485935984482,0.5,1,0.9640018700327255
4,2,4466.5,5323.1,173,2734.7000000000003,6901,4045.514705882353,0.5,1,0.996005326231691
5,1,300.0,576.05,31,114.94999999999999,1089,364.13179190751447,0.5,1,0.8853633572159673
6,5,2678.0,3034.2,90,2037.1500000000003,3581,2375.068645640074,0.5,1,0.9935483870967742
7,1,1587.0,2247.5,91,1146.0,4281,1684.9061080262493,0.5,1,0.9706026457618814
8,1,575.5,2173.0499999999997,92,190.95,3508,1092.4130688448074,0.5,1,0.907358390682901
9,2,4579.5,8491.45,275,859.95,13504,5237.901047120419,0.5,1,0.9622166246851386
10,2,2316.0,3830.0,126,967.1499999999999,5151,2419.9896653543306,0.5,1,0.9741131351869607
11,4,2969.5,7951.65,288,1700.9499999999998,11743,4600.578571428571,0.5,1,0.9614368726888537
12,3,2204.0,2869.0,118,652.0,5910,1980.5565891472868,0.5,1,0.9588701684836471
13,2,3461.0,4906.6,190,1302.0,7543,3180.459370596524,0.5,1,0.9897721989772199
14,1,943.0,2463.1000000000004,122,503.0,4793,1552.54701718908,0.5,1,0.9801783944499505
15,1,1139.0,1906.0,72,721.0,2715,1248.6912487708948,0.5,1,0.9704198473282443
16,4,2084.5,3169.6499999999996,129,1125.7000000000003,4648,2138.7556074766353,0.5,1,0.9944237918215614
17,2,1539.5,2138.2,84,671.0,3414,1464.156281407035,0.5,1,0.9812623274161736
18,8,2165.0,3211.4999999999995,158,1439.0,6566,2407.0191947565545,0.5,1,0.9902642559109874
19,4,3667.0,6194.599999999999,190,1452.0,8276,3632.0888071466106,0.5,1,0.9763981528989225
20,1,48.0,115.0,16,20.0,783,88.41368078175896,0.5,2,0.492974708952228
21,1,37.0,74.0,21,15.449999999999989,598,66.9891774891775,0.5,2,0.4429530201342282
22,1,47.0,92.0,14,21.0,424,72.13240673006584,0.5,2,0.5586432366162648
23,1,36.0,72.54999999999995,16,18.0,308,53.721875,0.5,2,0.4513399153737659
24,1,64.0,160.0999999999999,31,25.0,970,131.84179357021998,0.5,2,0.5211640211640212
25,1,34.0,74.29999999999995,22,16.0,600,66.4793875147232,0.5,2,0.4225983076157292
26,1,54.0,133.79999999999995,20,22.0,402,82.18024691358025,0.5,2,0.5135249366018597
27,1,41.0,95.0,32,18.0,821,100.30485232067511,0.5,2,0.462890625
28,1,39.0,83.0,18,18.0,397,62.029411764705884,0.5,2,0.44320297951582865
29,1,50.0,102.79999999999995,20,24.0,640,80.32133450395084,0.5,2,0.5103046594982079
30,1,40.0,79.0,13,16.0,322,57.7685546875,0.5,2,0.46146913023884634
31,1,60.0,121.0,20,26.0,567,93.90084985835693,0.5,2,0.5160818713450293
