,TARGET_SCALE,AVG,MAX_QUEUE_LENGTH,Q2,PART,MAX,BG_SCALE,Q3,MIN,N_SURG,Q1
56,1.0,238.0344827586207,7.0,89.0,0.3118279569892473,1064.0,1.0,420.4,3.0,1,38.7
57,1.0,348.7435897435897,15.0,149.0,0.43333333333333335,2213.0,1.0,391.4,7.0,1,41.2
58,1.0,329.54285714285714,9.0,134.0,0.3465346534653465,1959.0,1.0,436.0,14.0,1,42.4
59,1.0,235.58333333333334,8.0,153.5,0.4444444444444444,1282.0,1.0,269.3,8.0,1,61.8
60,1.0,114.2,5.0,52.5,0.09523809523809523,425.0,1.0,100.25,22.0,2,41.5
61,1.0,274.46153846153845,7.0,129.0,0.19548872180451127,1222.0,1.0,273.6,3.0,2,30.65
62,1.0,24.6,1.0,15.0,0.05319148936170213,58.0,1.0,41.9,2.0,2,9.7
63,1.0,30.0,1.0,30.0,0.025974025974025976,33.0,1.0,33.0,27.0,2,27.0
64,1.0,44.05555555555556,2.0,30.0,0.16981132075471697,119.0,1.0,70.45,3.0,2,18.85
65,1.0,16.333333333333332,1.0,9.5,0.049586776859504134,50.0,1.0,22.45,2.0,2,5.8
66,1.0,36.166666666666664,3.0,30.0,0.12371134020618557,109.0,1.0,48.6,5.0,2,13.7
67,1.0,15.0,1.0,15.5,0.07317073170731707,30.0,1.0,23.35,2.0,2,3.9
68,1.0,75.375,4.0,74.5,0.21621621621621623,183.0,1.0,96.5,2.0,2,47.7
69,1.0,35.0,1.0,30.0,0.09322033898305085,72.0,1.0,50.0,1.0,2,25.2
70,1.0,203.63636363636363,5.0,79.5,0.21153846153846154,1062.0,1.0,125.7,1.0,2,28.75
71,1.0,91.83333333333333,1.0,35.0,0.06382978723404255,359.0,1.0,121.5,1.0,2,11.45
72,1.0,53.111111111111114,1.0,45.0,0.09278350515463918,136.0,1.0,64.9,16.0,2,31.6
73,1.0,48.61538461538461,3.0,44.0,0.13131313131313133,125.0,1.0,67.4,3.0,2,12.5
74,1.0,129.83333333333334,3.0,58.5,0.0594059405940594,347.0,1.0,292.85,1.0,2,22.85
75,1.0,60.81818181818182,2.0,54.0,0.08661417322834646,129.0,1.0,106.0,6.0,2,27.6
76,1.0,23.75,0.0,21.0,0.0392156862745098,40.0,1.0,34.6,13.0,2,13.45
77,1.0,116.55555555555556,4.0,31.0,0.07377049180327869,322.0,1.0,290.8,3.0,2,18.9
78,1.0,94.0,3.0,94.0,0.08823529411764706,184.0,1.0,139.6,3.0,2,44.2
79,1.0,56.8,3.0,43.0,0.05747126436781609,165.0,1.0,81.0,15.0,2,15.7
