;E;F;I;_
E;0;0.7451162790697674;0.25488372093023254;0
F;0.5682070827378116;0;0.4317929172621883;0
I;0.1221170904790065;0.8778829095209935;0;0
_;0.013399359161083601;0.858141567142441;0.12845907369647538;0
