;A;D;E;F;I;N;_;*
A;0;0.0008979347500748278;0.009577970667464832;0.8587249326548937;0.07542651900628554;0.055073331337922776;0;0.000299311583358276
D;0;0;0.6537549407114625;0.062450592885375494;0.0015810276679841897;0.0023715415019762848;0;0.2798418972332016
E;0;0.2221151529751867;0;0.05564924114671164;0.04191761021440617;0.013731630932305469;0;0.66658636473139
F;0;0.04862882653061224;0.48262117346938777;0;0.1647002551020408;0.2590880102040816;0;0.04496173469387755
I;0;0.006358177322500883;0.06958671847403744;0.8968562345460968;0;0.020134228187919462;0;0.007064641469445425
N;0;0.0010378827192527244;0.03269330565646082;0.2516865594187857;0.7093928386092372;0;0;0.005189413596263622
_;0.9729178800232965;0.004368083867210251;0.00145602795573675;0.02009318578916715;0.0008736167734420501;0.00029120559114735004;0;0
*;0;0;0;0;0;0;0;0
